# ich head tail
0 50 119
1 171 240
2 292 361
3 413 482
4 534 603
5 655 724
6 776 845
7 897 966
8 1018 1087
9 1139 1208
10 1260 1329
11 1381 1450
12 1502 1571
13 1623 1692
14 1744 1813
15 1865 1934
16 1986 2055
17 2107 2176
18 2228 2297
19 2349 2418
20 2470 2539
21 2591 2660
22 2712 2781
23 2833 2902
24 2954 3023
25 3075 3144
26 3196 3265
27 3317 3386
28 3438 3507
29 3559 3628
30 3680 3749
31 3801 3870
32 3922 3991
33 4043 4112
34 4164 4233
35 4285 4354
36 4406 4475
37 4527 4596
38 4648 4717
39 4769 4838
