# ich head tail
0 0 1510
1 1514 3024
2 3028 4538
3 4542 6052
4 6056 7566
5 7570 9080
6 9084 10594
7 10598 12108
8 12112 13622
9 13626 15136
10 15140 16650
11 16654 18164
12 18168 19678
13 19682 21192
14 21196 22706
15 22710 24220
16 24224 25734
17 25738 27248
18 27252 28762
19 28766 30276
20 30280 31790
21 31794 33304
22 33308 34818
23 34822 36332
24 36336 37846
25 37850 39360
26 39364 40874
27 40878 42388
28 42392 43902
29 43906 45416
30 45420 46930
31 46934 48444
32 48448 49958
33 49962 51472
34 51476 52986
35 52990 54500
36 54504 56014
37 56018 57528
38 57532 59042
39 59046 60556
40 60560 62829
41 62833 65102
42 65106 67375
43 67379 69648
44 69652 71921
45 71925 74194
46 74198 76467
47 76471 78740
48 78744 81013
49 81017 83286
50 83290 85559
51 85563 87832
52 87836 90105
53 90109 92378
54 92382 94651
55 94655 96924
56 96928 99197
57 99201 101470
58 101474 103743
59 103747 106016
60 106020 108289
61 108293 110562
62 110566 112835
63 112839 115108
64 115112 117381
65 117385 119654
66 119658 121927
